2025-01-27 21:32:15 - SUI-USD - LONG - Price: 3.91015 - Indicators: (np.float64(34.89447341875552), np.float64(-0.0014235814653457506), np.float64(-0.0016846119948333881), np.float64(3.914380918080651), np.float64(3.911439081919349), np.float64(9.090909090900526), np.float64(14.141414141402313))
2025-01-27 21:37:17 - BTC-USD - SHORT - Price: 102054.835 - Indicators: (np.float64(65.21269656326672), np.float64(23.88455659709386), np.float64(24.103137051437955), np.float64(102052.62757393176), np.float64(101978.10392606823), np.float64(84.09967845658775), np.float64(89.39978563772517))
2025-01-27 21:37:52 - BTC-USD - SHORT - Price: 102079.05 - Indicators: (np.float64(67.17494275378645), np.float64(17.89376390995555), np.float64(19.468397566800586), np.float64(102075.38692223099), np.float64(101997.86457776903), np.float64(87.49912262229925), np.float64(71.27114480240219))
2025-01-27 21:40:13 - SUI-USD - SHORT - Price: 3.92775 - Indicators: (np.float64(63.669207305458656), np.float64(0.0015622464776233376), np.float64(0.001732888160230709), np.float64(3.926866544503227), np.float64(3.9216084554967736), np.float64(97.64443090668617), np.float64(97.10292077029219))
2025-01-27 21:40:22 - SUI-USD - SHORT - Price: 3.92845 - Indicators: (np.float64(63.52867615236328), np.float64(0.0016470009021491983), np.float64(0.001689865134081663), np.float64(3.927600293037353), np.float64(3.921734706962648), np.float64(82.65306122448838), np.float64(87.19666971265768))
2025-01-27 21:40:33 - TIA-USD - SHORT - Price: 4.043 - Indicators: (np.float64(72.19678076634226), np.float64(0.0018031435865421368), np.float64(0.0018195052724898823), np.float64(4.041437948526108), np.float64(4.036212051473893), np.float64(100.0), np.float64(86.66666666666352))
2025-01-27 21:41:39 - INJ-USD - SHORT - Price: 19.123 - Indicators: (np.float64(68.72297871186134), np.float64(0.012320106054745613), np.float64(0.013480760546270842), np.float64(19.12177247238687), np.float64(19.076277527613133), np.float64(100.0), np.float64(100.0))
2025-01-27 21:41:47 - ETH-USD - SHORT - Price: 3193.045 - Indicators: (np.float64(73.67960424469537), np.float64(0.9851770478242846), np.float64(1.0192355126626842), np.float64(3191.9212292879615), np.float64(3188.662270712038), np.float64(94.55128205127953), np.float64(90.91880341879921))
2025-01-27 21:41:53 - SUI-USD - SHORT - Price: 3.9359 - Indicators: (np.float64(71.22161897209782), np.float64(0.0016093348816050106), np.float64(0.001800043731231461), np.float64(3.9343318551437405), np.float64(3.929748144856259), np.float64(88.88888888888654), np.float64(85.18518518518205))
2025-01-27 21:41:56 - BTC-USD - SHORT - Price: 102237.355 - Indicators: (np.float64(77.03553950083422), np.float64(22.306775099006092), np.float64(23.10162055305999), np.float64(102205.86444826663), np.float64(102123.12505173337), np.float64(85.39834129178001), np.float64(72.19569406049199))
2025-01-27 21:43:06 - RNDR-USD - SHORT - Price: 6.22965 - Indicators: (np.float64(64.79939979930154), np.float64(0.0028102727849533458), np.float64(0.00325541668514457), np.float64(6.229249341565201), np.float64(6.225405658434798), np.float64(100.0), np.float64(77.77777777777779))
2025-01-27 21:43:17 - SUI-USD - SHORT - Price: 3.94195 - Indicators: (np.float64(76.02022522397503), np.float64(0.0017249386057871519), np.float64(0.001986238404136558), np.float64(3.9419234095482776), np.float64(3.938761590451722), np.float64(100.0), np.float64(94.99999999999743))
2025-01-27 21:43:20 - ETH-USD - SHORT - Price: 3194.435 - Indicators: (np.float64(69.2774853259593), np.float64(0.630747468424488), np.float64(0.6979842002974691), np.float64(3194.1095223103157), np.float64(3192.2409776896848), np.float64(100.0), np.float64(97.23691945914065))
2025-01-27 21:43:23 - INJ-USD - SHORT - Price: 19.1455 - Indicators: (np.float64(72.2054220163932), np.float64(0.007214310410964468), np.float64(0.008342974348220969), np.float64(19.14310098390781), np.float64(19.12594901609219), np.float64(86.6666666666643), np.float64(73.33333333332861))
2025-01-27 21:43:26 - TIA-USD - SHORT - Price: 4.0645 - Indicators: (np.float64(90.11228467048402), np.float64(0.002171510167267835), np.float64(0.0022585617964675053), np.float64(4.061893819034855), np.float64(4.053406180965147), np.float64(100.0), np.float64(100.0))
2025-01-27 21:43:31 - SOL-USD - SHORT - Price: 236.68 - Indicators: (np.float64(64.17363155853212), np.float64(0.0773278525234294), np.float64(0.08530377072589464), np.float64(236.62826012104725), np.float64(236.3812398789527), np.float64(88.8888888888868), np.float64(88.49206349206172))
2025-01-27 21:43:36 - SUI-USD - SHORT - Price: 3.94895 - Indicators: (np.float64(81.98331334927833), np.float64(0.0018584180980649734), np.float64(0.0019145665396997733), np.float64(3.944972816326753), np.float64(3.936832183673247), np.float64(100.0), np.float64(100.0))
2025-01-27 21:46:40 - AR-USD - SHORT - Price: 13.499801769706123 - Indicators: (np.float64(100.0), np.float64(0.00374153823038507), np.float64(0.00468675784896341), np.float64(13.499530466491914), np.float64(13.49667821707329), np.float64(100.0), np.float64(nan))
2025-01-27 21:50:30 - SOL-USD - LONG - Price: 236.265 - Indicators: (np.float64(39.23248888360343), np.float64(-0.04499399213332822), np.float64(-0.051660508168635544), np.float64(236.5390983870882), np.float64(236.28490161291177), np.float64(6.249999999994458), np.float64(26.041666666661317))
2025-01-27 21:50:33 - INJ-USD - LONG - Price: 19.084 - Indicators: (np.float64(36.760879612212726), np.float64(-0.005306421697923724), np.float64(-0.00551170146403675), np.float64(19.110070120434703), np.float64(19.0843298795653), np.float64(11.111111111112995), np.float64(22.222222222225984))
